vendor,price,cat1,cat2,cat3,title
dutchdopemasters,0.006156,Drugs,Empathogens,Ecstasy,'10x 260mg MDMA Nespresso Xtc Pills'
border-line,0.034881,Drugs,Stimulants,Cocaine,'5 gr. FIRST CLASS COCAINE FROM THE SOURCE'
bitcoiguy,0.04399,Other products,Services,Money,'20 x $ 100   High Quality Counterfeit Dollar Bills $ TOTAL $ 2000'
theshop,0.000208,Other products,Digital items,Other digital,'♕ Amazon Refund Method ♕'
misterpills,0.006284,Drugs,Empathogens,Ecstasy,'200x ECSTASY RED DEFQON 250mg MDMA*HCl'
homeofdrugs,0.07601,Drugs,Empathogens,Ecstasy,'200 x high quality Red Defcon's 220mg '
appleinc,0.008037,Drugs,Pharmacy,Benzos,'100 x 1mg Etizolam Pills Best Quality'
md,0.36532,,Drugs,Psychedelics,'4-ACO-DMT [100 GRAM] [FREE SHIPPING WORLDWIDE]'
lucyskydiam0nds,0.018781,Drugs,Psychedelics,LSD,'100x 110ug LSD - Needlepoint 99.5%'
mistagreenabis,0.037706,,Drugs,Cannabis,'2 oz Chemdawg greenhouse weed (56 g)'
md,0.017742,Drugs,Psychedelics,LSD,'LSD - Lightbringer [80mcg] - 100 tabs'
expressdude,0.013167,Drugs,Psychedelics,LSD,'25 x 150-200ug High Quality LSD happy trippin'
matzee,0.005809,Drugs,Cannabis,Hash,'Moroccan Hash Caramello 5 gramm '
royal-drugs,0.003852,Drugs,Cannabis,Weed,'3,5 gr. blue cheese weed indoor'
nextgeneration,0.009185,Drugs,Cannabis,Weed,'Crystal OG Kush 7g FREE UK NDD '
stealthpharmacy,0.005396,Drugs,Pharmacy,Benzos,'Ativan Lorazepam 2mg X 30 Tabs'
idealpills,0.090811,Drugs,Pharmacy,Sleep,'900x Ativan 2 MG Pills (Loose)'
pachoherrera,0.023104,Drugs,Empathogens,Ecstasy,'100 X BLUE CHUPA CHUPS 300MG'
theshop,0.000208,Other products,Services,n/a,'♕ How To Make Money With Trading Systems ♕'
pillerikauppa,0.003718,Drugs,Pharmacy,Pain,'10x Neurontin 600mg. 2,5e/kpl *Suomi apteekki*'
ganja-base,0.002051,Drugs,Psychedelics,LSD,'2 x 250ug High purity 99.9% LSD (happy Bears)'
dreamdoc,0.095522,Other products,Services,Money,'Super Best Quality counterfeit Notes 150x$20= $3000 Promotion'
citra-world,0.000189,Other products,Digital items,Credit card data,'IBAN validator'
holloboss,0.062843,Other products,Services,Money,'Most Reliable Quality Dollar Notes 40 X 100= $4000'
highqualitytrip,0.440834,Drugs,Empathogens,Ecstasy,'4000 X HANDGRENADE 140MG NET CONTENT MDMA'
findrugs,0.021796,Drugs,Empathogens,MDMA,'MDMA 3.5g'
smokey-joe,0.00258,Drugs,Cannabis,Weed,'2 gram BIO OUTDOOR WHITE WIDOW'
elpatron,0.004488,Drugs,Empathogens,Ecstasy,'10 Blue appel MDMA pills 180 mg'
mustajaska,0.007573,Other products,Body building,Oral,'Metaxon-10 Malay Tiger(Methandienone) 100 tabs/10mg '
theshop,0.000208,Other products,Services,n/a,'★ MAKE MONEY WITH FACEBOOK ★'
hollanpetters,0.044875,Other products,Self-defence,Guns and ammo,'Custom Listing for SCCY CPX-2 9MM BLK/GRAY with 2mags and 75bulle'
einsteinallbet,0.019364,Drugs,Empathogens,Ecstasy,'100 ★VARIETY XTC PILLS ★ STRONG 270 MG MDMA ★ PROMO!!!'
letsdothissshit,0.018784,Drugs,Stimulants,Metamphetamine,'1 GRAM x Methamphetamine = REAL QUALITY + EXPRESS + FE LISTING'
appleinc,0.008872,,Other products,Classifieds,'5 x €50 Euro Counterfeit Notes (Very Good Quality)'
legalizewid,0.016747,Drugs,Cannabis,Weed,'28g Top Shelf Cali Orange (Cali-O) Grade A++ Weed'
medicsnl,0.385715,Drugs,Empathogens,Ecstasy,'2000 x Red Defqon'
holloboss,0.026167,Other products,Services,Money,'Quality Dollar Notes 10X $100=1000'
ragstoriches1,0.078286,Drugs,Stimulants,Metamphetamine,'❤ 28g ICE | crystal METH ★ HQ ❤'
stikilion,0.008379,,Drugs,Cannabis,'15grams Lemon Kush'
drugs2sell,0.076366,Drugs,Cannabis,Hash,'100 gr. King Hassan maroc Best quality!'
fastfood-uk,0.032342,Drugs,Stimulants,Cocaine,'[UK2WW] 3.5G OF 90%+ EC TESTED COLUMBIAN FISHSCALE COCAINE! '
drugs-crew,0.010559,Drugs,Cannabis,Weed,'10 gr. Orange bud weed indoor AAA+'
uncut_and_cheap,0.063638,Drugs,Psychedelics,DMT / AMT,'DMT 10g Pure Fire Dimethyltryptamine'
pillerikauppa,0.004361,Drugs,Pharmacy,Benzos,'6x Tenox 20mg *Suomi apteekki* '
quimicos-cientificos,0.045131,Drugs,Empathogens,Ecstasy,'100 x Paul Frank Monkey 250mg XTC Pills'
qzfwrty,0.026085,Other products,Services,Fake IDs,'BUY   ID Cards Drivers / MMJ License BIRTH CERTIFICATE '
wendy,0.001046,Other products,Digital items,Erotica,'paragonmen - [GAY PORN LIFETIME ACCOUNT]'
drugscafe,0.057953,Drugs,Stimulants,2-FMA / 4-FA,'50 gr. 4-FA '
yeticoolers,0.000962,,Other products,Digital items,'Time Warner Cable Account [LIFETIME + FREEBIES]'
katkosajatus,0.002564,Drugs,Pharmacy,Pain,'Gabapentin 300mg 10kpl (Suomi Apteekki)'
platinum45,0.016387,Drugs,Pharmacy,ADHD,'10x 30mg IR Adderall Sandoz Pharma E404 Instant Release'
mrgoodguys,0.006622,Drugs,Cannabis,Concentrates,'2.5g Juicy Fruit Budder (Hybrid) FREE-SHIPPING'
theonlinesource,0.001044,Other products,Digital items,Erotica,'TMW VR VIRTUAL REALITY PORN ACCOUNT (warranty+freebies)'
moiiyboys,0.001678,Drugs,Empathogens,Ecstasy,'4x **Yellow Hearts** 140mg MDMA'
rocketship1,0.078187,Drugs,Cannabis,Hash,'2 Ounces Blonde Hash'
cookdish,0.049052,Drugs,Empathogens,MDMA,'Ephylone (BK-EBDP) 250g (PURE：&gt;99%) big crystal'
drugs-evil,0.1549,Drugs,Empathogens,MDMA,'250 GR MDMA ROCKS VERY GOOD FROM NETHERLAND'
appleinc,0.009916,Drugs,Pharmacy,Benzos,'100 x 10mg Roche Diazepam (Loose)'
cerberus,0.001167,Other products,Classifieds,Replicas,'Under Armour Dark Grey '
score-drugs,0.057055,Drugs,Empathogens,MDMA,'50 GR high quality MDMA COLA '
kushmasters,0.044876,Drugs,Cannabis,Weed,'2 grams free ( Best Quality Zombie Kush) 100g'
canadiansteroids,0.003131,Other products,Body building,Anabolic steroids,' SUSTANON 10 ML 250MG ML (USA TO USA)--------- IF LOCATED IN CANA'
theshop,0.001043,Other products,Digital items,Other digital,'DIRECTV+HULU+HBO [LIFETIME]'
idealpills,0.075154,Drugs,Pharmacy,Benzos,'700x Xanax 1 MG Pills (Loose)'
pur-sang,0.008337,Drugs,Pharmacy,Benzos,'Rivotril 2mg, 20kpl'
rxlabs,0.017072,Drugs,Cannabis,Weed,'QP Green house trim'
dutchdream,0.001148,Other products,Digital items,Credit card data,'USA HIGH LEVEL CC - VISA RANDOM CREDIT - BUSINESS/SIGNATURE/PLATI'
border-line,0.05027,Drugs,Cannabis,Hash,'100 gr.Maroccan Hash prenium A+++'
pur-sang,0.007693,Drugs,Pharmacy,Pain,'14kpl 150mg Lyrica'
qzfwrty,0.032053,Drugs,Opiates,Fentanyl,'Fentanyl powder and tabs , Fentora,Kadian,MScontin,Oxycodone , Ad'
appleinc,0.006576,,Drugs,Pharmacy,'50 x 10mg Roche Diazepam (Loose)'
dope-total,0.005393,Drugs,Cannabis,Hash,'5 gr. Marocan Hash really goodquality'
sexy-bitch1,0.007744,Drugs,Stimulants,Metamphetamine,'Quality Meth 2 gram Super Saver Pack!'
daydreamer808,0.009531,Drugs,Stimulants,Cocaine,'COCAINE 1GRAM USA - '
pachoherrera,0.002952,Drugs,Empathogens,Ecstasy,'10 X FORMULA  XTC'
bentso-team,0.003462,Drugs,Pharmacy,Benzos,'Diapam 10mg/5kpl SUOMI!'
odinshop,0.010732,Drugs,Depressants,GHB / GBL,'PRIVATE GHB 1dl - Only buy from invite'
dankteamgb,0.004154,Drugs,Cannabis,Weed,'2g Critical Kush'
pharmroids,0.004488,Other products,Body building,Oral,'Nolvaxyl | 30 tabs (20mg/tab) - Kalpa Pharma'
thehappycrew,0.026313,Drugs,Cannabis,Weed,'20 gram OG KUSH *BIO PREMIUM AAA+++ indoor'
underground-drugs,0.061015,Drugs,Stimulants,Cocaine,'10 gr PURE QUALITY COLOMBIAN COCAIN '
dreamdoc,0.068414,Other products,Services,Money,'Super Best Quality counterfeit Notes 40x$50= $2000 Promotion!!'
hollanpetters,0.055132,Other products,Self-defence,Guns and ammo,'SMITH &amp; WESSON M&amp;P SHIELD .45ACP W/THUMB SAFETY.'
houseofdrugs,0.001667,Drugs,Empathogens,MDMA,'0.5g - 85% Pure Crystal MDMA'
hollanpetters,0.048721,Other products,Self-defence,Guns and ammo,'Ruger American 45ACP Compact Concealed Carry NIB 2 Mags SALE!! '
pol1,0.208658,Drugs,Cannabis,Synthetics,'5F-MDMB-2201 ★★★ shipping form EU ★★★ 500 grams'
noogz,0.001667,Drugs,Empathogens,Ecstasy,'10x Chupa Chups Ecstasy mdma pill 120+ MG'
poison-store,0.006026,Drugs,Cannabis,Weed,'5 g Super Lemon Haze TOPSHELF AAA+ '
appleinc,0.004488,,Drugs,Pharmacy,'25 x 1mg Etizolam Pills Best Quality'
jesperjesper,0.095034,Drugs,Dissociatives,Ketamine,'112G Ketamine Crystal Shards - S-Isomer '
medicsnl,0.064821,Drugs,Stimulants,Amphetamine,'250GR - SPEED PASTE 71%'
drphil,0.009321,Drugs,Pharmacy,Benzos,'50 st - Galenika - Ksalol 1 mg - Apotek - '
weed-depot,0.076571,Drugs,Empathogens,Ecstasy,'200 x XTC RED LEVI'S 250MG'
luciphero,0.166535,Drugs,Cannabis,Weed,'227G TUNA KUSH - AAAA+ QUADRUPLE GRADE - BEST SMOKE OUT OF CANADA'
stealthydrugs,0.016394,Drugs,Empathogens,Ecstasy,'25 x  XTC PILLS WB 180-200 MG'
theshop,0.001043,Other products,Digital items,Guides and tutorials,'★ ♕ TheShop's MEGAPACK ♕ ★ '
theshop,0.000521,Other products,Digital items,Ebooks,'♕ ID THEFT ULTIMATE GUIDE ♕'
dreamdoc,0.095522,Other products,Services,Money,'Super Best Quality counterfeit Euro Bills 60x€50= €3000 Promo!!'
ksanori,0.044925,Drugs,Opiates,Buprenorphine,'SUBUTEX 8mg (5kpl)'
idealpills,0.082461,Drugs,Pharmacy,Benzos,'675x Rivotril 2 MG Pills (Loose)'
drugs-home,0.024617,Drugs,Stimulants,Cocaine,'3 gr uncut cocaine 88% cocaine'
dutchdreams,0.151028,Drugs,Cannabis,Weed,'custom order valida mixed strains'
hackyboy,0.00785,Other products,Services,Money,'BIG PACK ** ALL EURO BILLS PSD TEMPLATES'
galaxystore,0.030625,Drugs,Stimulants,Cocaine,'⌛3.5g Fishscale Cocaine 88% ☯ GalaxyStore ⌛'
appleinc,0.013048,,Other products,Classifieds,'10 x €50 Euro Counterfeit Notes (Very Good Quality)'
multi-store,0.00436,Drugs,Cannabis,Hash,'5 gr real Red Lebanese Pollen Hashish'
medicsnl,1.605113,Drugs,Empathogens,Ecstasy,'10000 x Red Defqon'
soiidsupply,0.001923,Drugs,Pharmacy,Erectile dysfunction,'Sildenafil 200 mg - Viagra - 5 tablets in blister'
theshop,0.000522,Other products,Digital items,Other digital,'★ TIDAL PREMIUM ACCOUNT [LIFETIME+FREEBIE] ★'
dope-exchange,0.029746,Drugs,Opiates,Fentanyl,'1 gr. FENTANYL HCL'
candy4you,0.042627,Drugs,Psychedelics,LSD,'100 X LSD HOFMANN 220ug clean pure Crystals.'
misterpills,0.008379,Drugs,Empathogens,MDMA,'Orange Dominos ±200mg xtc pills WORLDWIDE SHIPPING'
dreams-store,0.002324,Drugs,Psychedelics,LSD,'2 x LSD 220ug California Sunshine  Acid *Jerry Gracia*'
stealthydrugs,0.079219,Drugs,Cannabis,Weed,'100 gr Honey Bear Weed Indoor'
yeticoolers,0.000641,,Other products,Digital items,'UFC Fight Pass [LIFETIME + FREEBIES]'
citra-world,0.078741,Drugs,Cannabis,Synthetics,'250 Gram Herbal Blends'
amsterdamtouk,0.039685,Drugs,Cannabis,Weed,'28g Amnesia Haze AAAA+ Amsterdam Free Delivery'
holloboss,0.07745,Other products,Services,Money,'200 x 20 High Quality Counterfeit $CAD Superbills TOTAL 4000'
german-stuff,0.004103,Drugs,Stimulants,Amphetamine,'5 gr. Premium Amphetamine Paste'
citra-world,0.000001,Drugs,Stimulants,Amphetamine,'Hansa market registration referreal For Elite Sellers/Buyers'
smoking-place,0.013545,Drugs,Cannabis,Weed,'14 Grams Sour Diesel (A+++ Hydroponic) free shipping'
cerberus,0.002917,Other products,Classifieds,Replicas,'Miss Dior Gift set ***SELLING CHEAP***'
appleinc,0.008869,,Other products,Services,'5 x €50 Euro Counterfeit Notes (Very Good Quality)'
theshop,0.000313,,Other products,Services,'♕ Collection of Esoteric Ebooks ♕'
appleinc,0.008037,Drugs,Pharmacy,Benzos,'100 x 1mg Etizolam Pills Best Quality'
bmg1,0.006227,Drugs,Cannabis,Weed,'DREAM QUEEN G.H. 7 GRAMS'
nextgeneration,0.005009,Drugs,Empathogens,Ecstasy,'10  XTC Ecstasy Rolls-Royce 200mg  FREE UK NDD'
chemicalstore,0.004128,Drugs,Stimulants,Amphetamine,'10 gr amfetamine paste speed 75% purity'
vauhtitonttu,0.128394,Drugs,Stimulants,Amphetamine,'50g Amfetamiini 20e/g'
pachoherrera,0.02259,Drugs,Dissociatives,Ketamine,'10G OLD DUTCH KETAMINE'
pharmroids,0.010647,Other products,Body building,Other injectables,'Boldenon Forte | 10ml (400 mg/ml) - Bodypharm'
dreamdoc,0.068414,Other products,Services,Money,'Super Best Quality counterfeit Euro Bills 40x€50= €2000 Promo!!'
europills,0.004622,Drugs,Pharmacy,Nootropics,'WAKLERT (NUVIGIL) armodafinil 150mg - 10 Pills - NORWAY Stock'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'The Psilocybin Solution'
drugs-home,0.019489,Drugs,Cannabis,Weed,'20 g BIO Super Lemon Haze - Grade AAA+'
pienipilvipuoti,0.009242,Drugs,Cannabis,Weed,'Jack Herer 3g'
expressdude,0.007358,Drugs,Cannabis,Hash,'10 gr First Class Maroc Pollen Hash A+'
pachoherrera,0.011618,Drugs,Empathogens,Ecstasy,'☆ 50 YELLOW SUNS 275MG ☆'
orangeone,0.028239,,Other products,Services,'ORIGINAL iphone 6 16 GIGAS 2 GIGAS RAM 3 COLORS'
smart666tiger,0.004702,Other products,Services,Hacking,'VIP72  STRONG PROXY SOCKS5 LIFETIME SUBSCRIPTION'
blime-sub,0.220766,Drugs,Opiates,Fentanyl,' Fentanyl HCL USA SOURCED 98%+ PURE OVERNIGHT POSSIBLE 3 GRAMS'
idealpills,0.112731,Drugs,Pharmacy,Benzos,'775x Xanax 2 MG Pills (Loose)'
dr-overdose,0.042182,Drugs,Stimulants,Cocaine,'1g Kokaiinia'
stealthpharmacy,0.007609,Drugs,Pharmacy,Benzos,'2 X Nitrazepam.  5mg X 56 Tabs.  Pharmacy Grade'
lsd-shop,0.020591,Drugs,Cannabis,Weed,'25G ⓌⒺⒺⒹ LEMON HAZE'
bentso-team,0.006284,Drugs,Pharmacy,Benzos,'Diapam 10mg/10kpl SUOMI!'
californiadreams,0.002824,Drugs,Cannabis,Hash,'2 g Moroccan Hash /// Free shipping ///'
holloboss,0.026167,Other products,Services,Money,'  Quality Dollar Notes 10X $100=1000'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'Amazon Refund Method (Still Working!)'
theshop,0.000208,,Other products,Digital items,'♕ CC Cashout Using Western Union ♕'
herbamedicus2,0.013478,Other products,Body building,Oral,'Zhengzhou Anadrol 50mg 50kpl'
nextgeneration,0.027214,Drugs,Stimulants,Cocaine,'UNCUT Peruvian 89% FISHSCALE COCAINE 3.5g FREE UK '
medicsnl,0.206014,Drugs,Empathogens,Ecstasy,'1000 x Grey Simcard 225 MG'
nordic,0.029411,Drugs,Opiates,Heroin,'Heroiini #3 3g/75e'
wendy,0.001044,Other products,Digital items,Erotica,'NakedSword.com – [GAY PORN LIFETIME ACCOUNT]'
drugs-evil,0.183944,Drugs,Stimulants,Cocaine,'35 GR PERU/BOLIVIA COCAINE VERY STRONG 92%'
hollanpetters,0.135834,Other products,Self-defence,Guns and ammo,'Walther PK380'
idealpills,0.130286,,Drugs,Stimulants,'875x Ritalin 10 MG Pills (Loose)'
tranquilandia02,0.079521,Drugs,Stimulants,Cocaine,'15 gram Pure Colombian Cocaine [NEW PRICES] '
h1r0ll1ng,0.032065,Drugs,Pharmacy,Benzos,'Xanor LPH 1mg nopea 100kpl&amp;200kpl(post.vaihtoehto nro2)'
makitafr,0.006712,Drugs,Cannabis,Concentrates,'Shatter Indica or Sativa 1gr . Intro promo price !!!'
harrispowell,0.033436,Drugs,Pharmacy,Pain,'BUY RITALIN 10 MG 260 Pills'
cbdqueenuk,0.0,Drugs,Cannabis,Concentrates,'1g of Colarado Blue dream sugar wax'
drugs-total,0.077185,Drugs,Psychedelics,LSD,'200 x  200ug SUN LSD BLOTTERS '
dreamdoc,0.118111,Other products,Services,Money,'Super Best Quality counterfeit Notes 400x$10= $4000 Promotion'
the_therapeutic,0.031302,Drugs,Psychedelics,2C-x,'2-CB caps (20mg each) x30'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'Pocket Sex Guide'
dutchmagicfe,0.167695,Drugs,Cannabis,Weed,'Amnesia Haze 200g'
pol1,0.313341,Drugs,Stimulants,Amphetamine,'4-MPD 4-MEAP ★★★ shipping form EU ★★★ 1,5 kg'
stealthydrugs,0.004776,Drugs,Empathogens,Ecstasy,'5 x  XTC PILLS WB 180-200 MG'
royal-drugs,0.023976,Drugs,Stimulants,Crack,'3,5 gr. uncut Raw Crack Cocaine Freebase'
cerberus,0.001225,Other products,Classifieds,Replicas,'Christmas Elf on the Shelf '
drugs-evil,0.009939,Drugs,Cannabis,Hash,'10 GR HASH TOP MAROC AAA++++++'
dutchstore,0.004776,Drugs,Cannabis,Hash,'5 gr Double Zero Hash AAA+'
drugs-evil,0.009681,Drugs,Stimulants,Cocaine,'1 GR COCAINE CRISTAL VERY STRONG 92% ORGINAIL TOP AAA+++'
dutchstore,0.004776,Drugs,Opiates,Heroin,'0,5 gr SUPER DRAGON BROWN HEROIN (70% purity)'
bmg1,0.012684,,Drugs,Cannabis,'BMG's 10 SEEDS ALIEN HALLUCINATION X PURPLE ALIEN'
captain_kirk,0.000103,Other products,Digital items,Ebooks,'Cannabis Alchemy - D. Gold'
wendy,0.001044,Other products,Digital items,Erotica,'Barely18Barbie.com [PORN LIFETIME ACCOUNT]'
thewizard,0.001669,Drugs,Opiates,Buprenorphine,'1x Suboxone 8mg/2mg Buprenorphine/Naloxone Strip'
kushmasters,0.033396,Drugs,Cannabis,Weed,'50G CRITICAL KUSH'
theshop,0.000208,Other products,Services,Money,'♕ Make $100 per Day Using Instagram ♕'
bmg1,0.005217,Drugs,Cannabis,Edibles,'SUPREME ORGANIC TRUFFLES (2 X 20MG THC) X *2 PCS*'
hollanpetters,0.052265,Other products,Self-defence,Guns and ammo,'THOMPSON CENTER CONTENDER .45-70 GOV'T w/5 BARRELS'
score-drugs,0.004773,Drugs,Stimulants,Metamphetamine,'0,5 gr. Imported Pure Meth high Quality'
appleinc,0.020354,,Drugs,Stimulants,'Armodafinil (Waklert) 150mg - 200x'
theonlinesource,0.001043,Other products,Digital items,Erotica,'LADYBOY LADYBOY shemale / tranny PORN ACCOUNT (warranty+freebies)'
pienipilvipuoti,0.008334,Drugs,Cannabis,Weed,'Master kush 3g/5g/10g'
theshop,0.000208,Other products,Digital items,Other digital,'♕ PSYCHEDELIC MUSHROOMS GUIDES ♕'
var462,0.000209,Other products,Digital items,Guides and tutorials,'Top Quality Guide on How To Make Magic Shrooms'
grantyourwish,0.000729,Other products,Digital items,Erotica,'★★★ College Rules Porn Account  ★ Lifetime Warranty ★★★'
highway-to-hell,0.070789,Drugs,Cannabis,Hash,'100 gr. First Class Moroccan Hiya Hash'
harrispowell,0.002403,Drugs,Stimulants,Amphetamine,'5g - HQ BASE SPEED - STRONG AND FANTASTIC VALUE!'
amsterdaminc,0.390894,Drugs,Empathogens,MDMA,'Champagne MDMA 84%+, 1000 Grams FE '
nextgeneration,0.011482,Drugs,Cannabis,Weed,'Bruce Banner #3 7g FREE UK NDD'
dutchmagicfe,0.451487,Drugs,Cannabis,Weed,'Greenhouse 1KG'
superieure,0.002437,Drugs,Stimulants,Amphetamine,'3g Reine Amphetamin Paste 95% PROMO-PREIS'
multi-store,0.00731,Drugs,Cannabis,Hash,'10 gr real Red Lebanese Pollen Hashish'
chapomart,0.051199,Drugs,Opiates,Heroin,'New Vendor SALE! 6g gunpowder/BTH tested 85-90%+'
medicsnl,0.206014,Drugs,Empathogens,Ecstasy,'1000 x Yellow Minions 225MG'
dope-exchange,0.009231,Drugs,Cannabis,Hash,'10 gr. First Class Moroccan Hiya Hash'
canadianpharmacy,0.003968,,Drugs,Pharmacy,'[US to US] 20 tabs x Generic Cialis 20mg (Tadalafil) $19.99'
mistagreenabis,0.246136,Drugs,Cannabis,Weed,'1 pound Variety-Pack #2: Blue Dream, Purple Dream, Sweet Kush, Bi'
mistagreenabis,0.021995,Drugs,Cannabis,Weed,'1 oz Sweet Kush weed (28 g)'
thedutchies,0.028247,Drugs,Empathogens,Ecstasy,'Levis 100x 250mg'
funezone,0.012454,Drugs,Empathogens,Ecstasy,'25 x Tonnetjes MDMA XTC Pills Duo Color 250mg'
charliechaplame,0.028178,Drugs,Cannabis,Weed,'30g NYC Diesel - Top Shelf Indoor Weed 260'
score-drugs,0.00839,Drugs,Stimulants,Cocaine,'1 gr. first hand colombian Cocaine'
amsterdam-dream,0.002052,Drugs,Psychedelics,Mushrooms,'4g Mexican Magic Mushrooms &amp; Free shipping'
thehappycrew,0.00629,Drugs,Cannabis,Weed,'5 gram VERY BERRY *BIO PREMIUM AAA+++ Indoor'
qzfwrty,0.025643,Drugs,Opiates,Oxycodone,'OXYCONTIN OC/OP 80mg '
fastfood-uk,0.006489,Drugs,Cannabis,Weed,'[UK2WW] 7 GRAMS AAA+ EXODUS CHEESE☮☮'
md,0.048013,Drugs,Psychedelics,AL-LAD,'150 x 150mcg AL-LAD Blotters [FREE SHIPPING WORLDWIDE]'
theshop,0.000312,Other products,Digital items,Erotica,'♕ Ultimate Autopilot e-Whore [TESTED] [Worth 35$] ♕'
pachoherrera,0.10004,Drugs,Empathogens,Ecstasy,'☆ 500 YELLOW SUNS 275MG ☆'
europills,0.003846,Drugs,Pharmacy,Nootropics,'ARMOFRESH (generic NUVIGIL) armodafinil 150mg - 10 Pills EU Stock'
mr-bearlabs,0.002618,,Other products,Body building,'10mls Sustanon 250mg -USA to USA- FREE SHIPPING'
zulu2u,0.00513,Drugs,Psychedelics,DOx,'10 x 1.4mg GammaGoblin DOB tabs'
cerberus,0.001167,Other products,Classifieds,Replicas,'Under Armour Black Silver Stitching '
wooody,0.001042,,Other products,Services,'Teenpornopass.com - [LIFETIME PORN PREMIUM ACCOUNT]'
homeofdrugs,0.003467,Drugs,Stimulants,Metamphetamine,'0.25 gram ICE CRYSTAL METH SHARDS'
silverapples,0.041752,Other products,Services,n/a,'TOR Onion darknet shop your own hosted hidden service '
cookdish,0.023235,,Drugs,Psychedelics,'2c-b 'Green / Yellow Stars' 18mg 100pc'
highadventure,0.037392,Drugs,Psychedelics,Mushrooms,'Quarter Pound Sacred *Magic Mushrooms* Powdered '
stikilion,0.006284,,Drugs,Stimulants,' 60 Pills Phentermine (K25) 37.5 MG'
blime-sub,0.022442,Drugs,Opiates,Fentanyl,'Fentanyl HCL USA SOURCED 98%+ PURE OVERNIGHT POSSIBLE 250MG'
martell,0.001559,Drugs,Cannabis,Weed,'1g Amnesia Haze | AAAA Medical | FREE Next Day Delivery'
appleinc,0.009916,,Drugs,Pharmacy,'100 x 10mg Roche Diazepam (Loose)'
salamanca,0.010327,Drugs,Cannabis,Weed,'3g PINAPPLE EXPRESS [sativa]'
herbamedicus2,0.002183,Drugs,Pharmacy,Muscle relaxants,'Norflex 100mg 10kpl'
alko,0.021163,,Drugs,Cannabis,'Jarz Custom Tuote'
moiiyboys,0.003292,Drugs,Empathogens,Ecstasy,'9x **Yellow Hearts** 140mg MDMA'
harrispowell,0.036571,Drugs,Opiates,Oxycodone,'Copy of Oxycodone 30mg ( Blues A215 ) 100 pills'
happy-drugs,0.052021,Drugs,Opiates,Heroin,'7 gr AAA+ High Quality Afghan Heroin!'
azilla,0.006803,,Other products,Classifieds,'20€ Counterfeit Money [7x20€ | 140€ for 50€]'
theshop,0.000208,Other products,Services,Money,'★ PayPal Ninja's Secrets ★'
nahko,0.010658,Drugs,Psychedelics,LSD,'50 tabs, 100ug high quality LSD'
extramoney,0.002568,Drugs,Cannabis,Weed,'2 gr.  Lemon Haze Weed (Top Shelf Indoor)'
burningman,0.005809,Drugs,Psychedelics,LSD,'6 x 260ug LSD Green-Dessert clean Acid Hits'
darkseid,0.231032,Other products,Self-defence,Guns and ammo,'HK-USP'
dutchdreams,0.006925,Drugs,Cannabis,Weed,' K2  OLD SCHOOL STRAIN 5 GRAM '
noogz,0.192774,Drugs,Cannabis,Weed,'500 g  Critical cush'
star-drugs,0.042627,Drugs,Cannabis,Weed,'50 gr. Sour Diesel Indoor Sativa AAA+'
chohanzia,0.000385,Other products,Services,Money,'30 x €50 Euro Väärennettyä rahaa (Hyvä laatu)'
dreamdoc,0.118111,Other products,Services,Money,'Super Best Quality counterfeit Notes 400x$10= $4000 Promotion'
dutchrabblt2,0.162535,Drugs,Stimulants,Metamphetamine,'METH (ICE) 50 GR D-VARIANT'
alexandrea,0.41795,Other products,Self-defence,Guns and ammo,'Copy of AR with Silencer'
fastfood-uk,0.020096,Drugs,Cannabis,Weed,'[UK2WW] 28 GRAMS AAA+ EXODUS CHEESE☮☮'
thefarmacy,0.121343,Drugs,Cannabis,Weed,'125G Girl Scout Cookie Import Grade AAA FREE DELIVERY UK-UK -EU'
theshop,0.000208,Other products,Digital items,Guides and tutorials,'♕ Apple Carding Method ♕'
dutchdopemasters,0.001154,Drugs,Psychedelics,LSD,'TRY OUT !! 2X 200UG Anonymous LSD Blotter's Acid's'
tollanpey,0.004179,Drugs,Opiates,Metadon,'Methadone DNE 20ml 100mg'
blue62,0.057828,Drugs,Stimulants,Metamphetamine,'3.5g --LOCAL AUSTRALIAN METH--'
alko,0.007824,Drugs,Cannabis,Weed,'Black Mamba - Indica - 3g / 19e'
medicsnl,0.164298,Drugs,Stimulants,Cocaine,'25GR - COCAINE 84%'
masterion,0.009373,Drugs,Empathogens,Ecstasy,'FLUGEL 210MG MDMA 25pcs'
drugscafe,0.004131,Drugs,Empathogens,Ecstasy,'5 x Blue Rockstars 180mg xtc pills MDMA '
extramoney,0.009886,Drugs,Stimulants,Cocaine,'1 gr.  Pure Uncut Peruvian Coke'
quality-express,0.045195,Drugs,Stimulants,Metamphetamine,'6 gr TOP SHELF CRYSTAL METH BIG ROCKS'
dankteamgb,0.004154,Drugs,Cannabis,Weed,'2g Super Lemon Haze'
theshop,0.000521,,Other products,Digital items,'★ ESPN PREMIUM ACCOUNT [LIFETIME+FREEBIE] ★'
charlieukontor,0.005454,Drugs,Stimulants,Cathinones,'   2.0Grams Mcat,Bubble,Drone,Meow Meow!!! OLD SKEWL'
noogz,0.359511,Drugs,Cannabis,Weed,'1000g  Critical cush'
